question,answer
1,B
26,C
2,B
27,C
3,D
28,C
4,D
29,C
5,B
30,C
6,B
31,C
7,C
32,D
8,A
33,A
9,B
34,B
10,C
35,B
11,D
36,D
12,D
37,C
13,B
38,A
14,B
39,C
15,D
40,D
16,C
41,D
17,D
42,D
18,B
43,B
19,A
44,C
20,D
45,C
21,C
46,D
22,B
47,B
23,D
48,C
24,A
49,C
25,A
50,A
