question,answer
1,B
2,B
3,C
4,D
5,D
6,B
7,D
8,A
9,C
10,C
11,C
12,A
13,A
14,B
15,C
16,B
17,C
18,C
19,A
20,C
21,D
22,A
23,A
24,B
25,B
26,C
27,D
28,C
29,D
30,C
31,D
32,C
33,C
34,D
35,B
36,C
37,A
38,D
39,B
40,C
41,C
42,C
43,B
44,A
45,D
46,B
47,B
48,D
49,A
50,C
